,Time,Open,High,Low,Close,Volume,QuoteAssetVolume,NumberOfTrades,ID_Coin,Pt-1,Pt+1buyHigh,Pt+5c,Pt+10c,Time_human
0,1655446380000,0.18880000,0.1922,0.18780000,0.1911,76200.0,14434.26170000,126,NULSUSDT,0.1887,0.1929,0.1971,0.2083,2022-06-17 06:13:00
1,1656850860000,0.19100000,0.1959,0.19100000,0.1939,272733.0,53064.12410000,243,NULSUSDT,0.1916,0.1948,0.1995,0.2083,2022-07-03 12:21:00
2,1657271100000,0.20810000,0.2109,0.20520000,0.2107,126312.0,26221.41220000,238,NULSUSDT,0.2081,0.2126,0.2272,0.2338,2022-07-08 09:05:00
3,1657318140000,0.22940000,0.235,0.22890000,0.235,353706.0,82398.23540000,373,NULSUSDT,0.2288,0.24,0.2488,0.2669,2022-07-08 22:09:00
4,1657321200000,0.24520000,0.2482,0.24510000,0.2478,95853.0,23599.75120000,78,NULSUSDT,0.2451,0.2485,0.2555,0.2659,2022-07-08 23:00:00
5,1657723620000,0.21050000,0.2142,0.21050000,0.213,46276.0,9833.01150000,68,NULSUSDT,0.21,0.2149,0.2247,0.2314,2022-07-13 14:47:00
6,1655318280000,6.36000000,6.49,6.36000000,6.48,104085.31,669527.21830000,1430,LINKUSDT,6.35,6.49,6.83,6.95,2022-06-15 18:38:00
7,1655318280000,4.32000000,4.39,4.32000000,4.39,32729.0,142436.68850000,390,WAVESUSDT,4.31,4.39,4.55,4.66,2022-06-15 18:38:00
8,1659695100000,0.00250400,0.002534,0.00250300,0.00253,125796732.0,317034.44275900,1079,HOTUSDT,0.002503,0.002539,0.0028,0.002712,2022-08-05 10:25:00
9,1662547140000,0.09110000,0.0922,0.09030000,0.092,2058001.0,188710.88340000,312,FETUSDT,0.091,0.0921,0.0941,0.0993,2022-09-07 10:39:00
10,1656078900000,0.01826000,0.0186,0.01824000,0.01853,5039077.6,93050.90433000,572,CELRUSDT,0.01826,0.01906,0.02001,0.02236,2022-06-24 13:55:00
11,1655318280000,1.09700000,1.118,1.09700000,1.116,84452.5,93623.10680000,594,THETAUSDT,1.097,1.118,1.157,1.2,2022-06-15 18:38:00
12,1659366240000,0.66000000,0.671,0.65800000,0.667,261450.8,174088.13550000,568,ENJUSDT,0.66,0.674,0.704,0.716,2022-08-01 15:04:00
