,Time,ID_Coin,Time_human,Open,High,Low,Close,NumberOfTrades,Pt+10c,Pt+1buyHigh,Pt+5c,Pt-1,Pt1 +0,Pt1 +1,Pt1 +2,Pt1 +3,Pt1 +4,Pt1 +5,Pt1 +6,Pt1 +7,Pt1 +8,Pt1 +9,Pt1 -1,Pt1 -10,Pt1 -2,Pt1 -3,Pt1 -4,Pt1 -5,Pt1 -6,Pt1 -7,Pt1 -8,Pt1 -9,QAVol1 +0,QAVol1 +1,QAVol1 +2,QAVol1 +3,QAVol1 +4,QAVol1 +5,QAVol1 +6,QAVol1 +7,QAVol1 +8,QAVol1 +9,QAVol1 -1,QAVol1 -10,QAVol1 -2,QAVol1 -3,QAVol1 -4,QAVol1 -5,QAVol1 -6,QAVol1 -7,QAVol1 -8,QAVol1 -9,QuoteAssetVolume,Trades1 +0,Trades1 +1,Trades1 +2,Trades1 +3,Trades1 +4,Trades1 +5,Trades1 +6,Trades1 +7,Trades1 +8,Trades1 +9,Trades1 -1,Trades1 -10,Trades1 -2,Trades1 -3,Trades1 -4,Trades1 -5,Trades1 -6,Trades1 -7,Trades1 -8,Trades1 -9,Volume,Vt1 +0,Vt1 +1,Vt1 +2,Vt1 +3,Vt1 +4,Vt1 +5,Vt1 +6,Vt1 +7,Vt1 +8,Vt1 +9,Vt1 -1,Vt1 -10,Vt1 -2,Vt1 -3,Vt1 -4,Vt1 -5,Vt1 -6,Vt1 -7,Vt1 -8,Vt1 -9,mfi1 +0,mfi1 +1,mfi1 +2,mfi1 +3,mfi1 +4,mfi1 +5,mfi1 +6,mfi1 +7,mfi1 +8,mfi1 +9,mfi1 -1,mfi1 -10,mfi1 -2,mfi1 -3,mfi1 -4,mfi1 -5,mfi1 -6,mfi1 -7,mfi1 -8,mfi1 -9,rsi1 +0,rsi1 +1,rsi1 +2,rsi1 +3,rsi1 +4,rsi1 +5,rsi1 +6,rsi1 +7,rsi1 +8,rsi1 +9,rsi1 -1,rsi1 -10,rsi1 -2,rsi1 -3,rsi1 -4,rsi1 -5,rsi1 -6,rsi1 -7,rsi1 -8,rsi1 -9,vwap1 +0,vwap1 +1,vwap1 +2,vwap1 +3,vwap1 +4,vwap1 +5,vwap1 +6,vwap1 +7,vwap1 +8,vwap1 +9,vwap1 -1,vwap1 -10,vwap1 -2,vwap1 -3,vwap1 -4,vwap1 -5,vwap1 -6,vwap1 -7,vwap1 -8,vwap1 -9
0,1655446380000,NULSUSDT,2022-06-17 06:13:00,0.1888,0.1922,0.1878,0.1911,126,0.2083,0.1929,0.1971,0.1887,0.1927,0.1944,0.1968,0.1973,0.1971,0.1985,0.2056,0.2112,0.208,0.2083,0.1911,0.1863,0.1887,0.1908,0.1966,0.1944,0.1883,0.1867,0.1882,0.1863,14492.04530000,9120.26020000,41283.61320000,17234.07220000,31438.74630000,33215.90060000,79160.23400000,133862.97750000,119281.73470000,45928.05530000,14434.26170000,7514.08180000,13677.87520000,64175.47180000,54859.73250000,50550.62970000,13650.32730000,22007.65930000,25747.64200000,5892.81580000,14434.2617,109,84,214,138,238,247,537,775,604,320,126,55,133,447,352,414,91,164,148,46,76200.0,75479.0,47113.0,210710.0,87346.0,160924.0,168781.0,391907.0,648484.0,568207.0,222540.0,76200.0,40330.0,72243.0,334738.0,280048.0,263977.0,72943.0,117184.0,137492.0,31769.0,48.76009582933525,46.69378224568962,58.13084767080794,49.55775173357561,53.894576073054694,54.430551761318604,65.49315912239166,73.66856183986583,68.48553806898326,51.299746005956465,48.7586710802444,51.32992293907264,48.45594831953449,72.7360514774761,70.21113249051652,69.01312119314062,53.36441345541394,59.601310664266414,62.77163416182227,50.0068755642705,60.09796540913059,62.52407093532087,65.69521753572675,66.33435503131204,65.8062124342475,67.74231603204711,75.36152925995069,79.47867866742803,72.06778336281567,72.32828596169017,57.70502181277738,57.12053394072617,53.85010787073908,58.156863475664416,73.16344674622042,70.48058293560078,60.249012972266954,56.583868580487824,61.52196991718414,57.12053394072617,0.19129556343769846,0.1928354147633342,0.19570695425414594,0.19643615405606105,0.19623760663793452,0.19656946148830012,0.20165371448410999,0.20632566278767628,0.20831353940044484,0.20836128424557201,0.18986377262653006,0.18637293296212826,0.19100573065245474,0.1934620637641933,0.19417131737205703,0.19124190252879023,0.18741006415010317,0.1875132900888449,0.18729753831853369,0.1859983305362534
1,1656850860000,NULSUSDT,2022-07-03 12:21:00,0.191,0.1959,0.191,0.1939,243,0.2083,0.1948,0.1995,0.1916,0.1935,0.1901,0.1949,0.1966,0.1995,0.1987,0.197,0.1967,0.1981,0.2083,0.1939,0.1822,0.1916,0.1912,0.1899,0.1895,0.1888,0.1884,0.1874,0.1857,22031.94880000,14534.23030000,26185.18100000,55832.75440000,78341.14290000,128864.57020000,41507.05250000,20276.08230000,55258.82110000,232601.93090000,53064.12410000,9842.50730000,25102.25170000,15189.23410000,21536.01700000,23194.42920000,7283.36510000,17806.18920000,7724.99120000,10841.60270000,53064.1241,142,107,135,209,407,640,252,138,285,1068,243,62,167,79,118,84,47,90,56,60,272733.0,113856.0,75576.0,136205.0,285655.0,394334.0,643763.0,210791.0,103227.0,278208.0,1130289.0,272733.0,53674.0,130514.0,79598.0,113241.0,122130.0,38656.0,94495.0,41299.0,58747.0,54.267187980043886,50.81720892744815,55.58732632875145,64.76727032734715,69.8539487778277,77.63105515048677,52.40483288950122,48.2651803808318,54.5870326408361,72.80784868770007,73.00036417549052,58.832335725639375,62.00753354231901,56.14796361412856,61.81446481104524,63.39322020630943,52.738851256231136,64.22733615692007,55.63623183773524,59.789004514614255,82.97955313212182,61.671790189422495,72.4337516581008,75.10035500675046,78.8575947580708,75.47421288441132,68.72623483381629,67.57798257608019,70.08946637962933,81.39638893819819,86.23438190896704,39.173954272468535,82.58771619479027,81.80951482295282,78.97354964010417,77.99328393787272,76.18943164450995,75.10674002416816,72.16895621283957,65.79711333816422,0.19355091427847146,0.1926088137167955,0.19258863417083372,0.19493692615243605,0.19743440947819252,0.1992454617760511,0.19904088620106708,0.19710322263904193,0.19780032849633622,0.2043054230147455,0.19298505035375338,0.1827501854214969,0.1914221868971469,0.1902424153482093,0.18966414893933406,0.189287455375468,0.18825268780056728,0.18788865291053605,0.185788586916685,0.18386404793884892
2,1657271100000,NULSUSDT,2022-07-08 09:05:00,0.2081,0.2109,0.2052,0.2107,238,0.2338,0.2126,0.2272,0.2081,0.2124,0.2179,0.2216,0.2202,0.2272,0.2267,0.2316,0.2345,0.228,0.2338,0.2107,0.2036,0.2081,0.2094,0.2185,0.2222,0.2183,0.2065,0.2055,0.2055,36719.62280000,42297.78290000,210664.18530000,68939.42930000,56731.05320000,58795.90260000,163127.19020000,111999.23630000,150777.26730000,112164.44710000,26221.41220000,11798.71860000,46234.78240000,78140.87100000,90153.61120000,129030.23630000,150587.68550000,10326.47230000,14217.17920000,27154.40680000,26221.4122,316,346,1058,500,384,413,937,751,1056,850,238,73,301,461,444,717,842,83,40,141,126312.0,173757.0,197325.0,941693.0,308239.0,252266.0,260334.0,706818.0,482207.0,658264.0,485667.0,126312.0,58119.0,220912.0,366060.0,409971.0,588004.0,705160.0,50147.0,69264.0,132559.0,49.92368543186548,50.91834621303702,69.63332785976364,51.68871659482384,50.536942528376684,50.73522825628811,59.98188393033393,54.63207923778844,57.70872538417786,53.76219015701579,48.178408298308,50.1128480981461,51.33226614126649,56.895902183595595,59.20393277958998,67.38049639521225,72.46524222894018,49.35988907443303,50.44441679931236,54.112696363611384,61.0454177505999,66.67063197012634,69.82723087948695,67.23255603878304,72.6957126920776,71.77519504744632,75.10248116202922,76.84243859536721,65.75106382332771,69.92283483813681,59.062355315879564,68.5665622433772,55.87205724905548,57.969515875434425,76.68052294363409,87.3218576627389,85.32914509685799,73.72732883832887,71.98386864708073,71.98386864708073,0.21051608863294777,0.21386459057566792,0.2215873106482953,0.22260271630776712,0.22345522353353964,0.2254872681753153,0.22929001067050472,0.2316949802569331,0.2308180998026254,0.2299481833257425,0.208806088672826,0.20301302488710601,0.21116553452862036,0.21643703602046827,0.22028505112853528,0.2173645640202377,0.21409790107422105,0.20569396705496154,0.20504970229689715,0.20432818346461928
3,1657318140000,NULSUSDT,2022-07-08 22:09:00,0.2294,0.235,0.2289,0.235,373,0.2669,0.24,0.2488,0.2288,0.2394,0.2423,0.249,0.2405,0.2488,0.2657,0.2594,0.27,0.275,0.2669,0.235,0.2213,0.2288,0.2291,0.2281,0.2269,0.2261,0.2249,0.2227,0.2213,130986.30060000,107698.91890000,181597.26320000,172551.73490000,101987.90660000,294584.25400000,175069.13650000,193122.90970000,218116.01970000,186855.30760000,82398.23540000,1330.73700000,47763.03780000,18926.54580000,31125.09320000,25752.09160000,35088.99440000,17276.57290000,8648.34440000,5391.07210000,82398.2354,580,547,931,1050,628,1295,921,704,1089,856,373,7,234,124,133,167,175,122,50,26,353706.0,548828.0,447549.0,737501.0,692928.0,418481.0,1131529.0,668609.0,730775.0,803954.0,691641.0,353706.0,6015.0,208326.0,82716.0,136494.0,113639.0,155769.0,77125.0,38924.0,24325.0,85.759590373695,74.35091090049666,82.54377545763379,77.92783618895888,59.3245737515692,76.64597356165125,59.53580098547336,61.116486055999886,62.95223469687712,58.88702551411665,79.56273418736853,50.413369913688264,71.11992340030741,57.779193957220784,70.68581212132447,67.73615494459088,80.85163583424125,70.86144990757093,61.92058023868547,57.324807065580465,92.39820696940669,93.5222111314336,95.26437989303867,69.66597261776556,76.34903020159042,84.0530340523452,74.33260531431854,78.77933741162272,80.49580653321473,70.54129043970153,89.93857132168793,55.35225048923669,82.55165123683878,85.36771367467965,83.64034643045697,81.16238220091927,79.2132981166712,75.71318825559295,65.95383496011485,55.35225048923669,0.23590580100029473,0.23928228200771395,0.24460583432485267,0.24550613673706745,0.24475224686261615,0.256251869665357,0.26037713854900757,0.2636577200634946,0.26921445892619045,0.2705384675441324,0.23129867089418393,0.2212073627844712,0.22856140213439985,0.22834338032024087,0.22740033901964155,0.2258290800570139,0.22486927557887568,0.2234517482557655,0.22195129988879936,0.22144713249835205
4,1657321200000,NULSUSDT,2022-07-08 23:00:00,0.2452,0.2482,0.2451,0.2478,78,0.2659,0.2485,0.2555,0.2451,0.2472,0.2459,0.2431,0.2457,0.2555,0.2544,0.2547,0.261,0.2644,0.2659,0.2478,0.2463,0.2451,0.2477,0.2467,0.2463,0.2444,0.2473,0.249,0.2463,27078.34240000,6261.29690000,45988.31920000,23313.19790000,80903.81870000,54436.20080000,104310.36310000,82361.42860000,95977.52920000,55285.21260000,23599.75120000,71570.66860000,17565.94090000,13859.26540000,14463.09990000,20032.77960000,39399.63730000,21336.69320000,28244.27750000,22042.73490000,23599.7512,127,35,150,124,361,298,504,422,482,285,78,115,82,64,101,77,78,92,130,189,95853.0,109389.0,25406.0,187920.0,95233.0,323484.0,213726.0,407461.0,317821.0,365059.0,208892.0,95853.0,292676.0,71316.0,55969.0,58452.0,81686.0,160338.0,86004.0,113937.0,88566.0,50.34938412182281,45.6796529038845,54.390135368605726,49.51540903705997,59.55919753440167,54.12425950710804,61.09066810338793,57.00064406887823,58.863971336492,51.709718950136065,49.57357287999519,57.632398705261295,48.20137041403956,47.41081433564084,47.51827840868411,48.50234875899567,51.92302542307827,48.787693923238955,49.95355677740941,48.91845160551013,57.549925107021345,54.46409866038904,48.43952927551933,53.57486525553724,66.9404143648857,64.6892007266961,65.03456743636637,71.36787386959682,74.09496033992455,75.21647613030068,58.98212895090677,62.05424409844297,54.22168194617868,60.500186816630006,58.7962153111046,58.12525823692038,54.88493656288961,61.645748012829195,66.07629756360464,62.05424409844298,0.24715769433156956,0.24709703574563843,0.24501594523561748,0.24494544351169395,0.25078060257086926,0.2531361918058115,0.2550745858064211,0.2569940111570396,0.26105847474422056,0.2636217846122753,0.2464929604173023,0.24528895396973938,0.24664609472181853,0.24749421318347742,0.24641727773099847,0.24563458692801815,0.2464294192626511,0.24819497551777772,0.24803340987540928,0.24614677221642253
5,1657723620000,NULSUSDT,2022-07-13 14:47:00,0.2105,0.2142,0.2105,0.213,68,0.2314,0.2149,0.2247,0.21,0.214,0.2283,0.2313,0.2317,0.2247,0.2329,0.2364,0.239,0.2345,0.2314,0.213,0.2137,0.21,0.2115,0.2139,0.2122,0.21,0.2112,0.2116,0.2121,5856.80030000,182269.24130000,226442.67770000,112880.74870000,101191.81120000,203400.24880000,115977.83970000,189431.53320000,116210.80220000,63064.05940000,9833.01150000,4850.83780000,8935.38570000,8503.19140000,1797.74950000,14065.19990000,7263.84310000,4230.55250000,4367.67420000,21553.46630000,9833.0115,34,823,932,582,595,954,678,860,784,875,68,30,27,63,12,64,41,26,27,88,46276.0,27345.0,814455.0,985324.0,493208.0,447624.0,868886.0,488196.0,787863.0,488835.0,272048.0,46276.0,22724.0,42412.0,40259.0,8431.0,66538.0,34510.0,20010.0,20611.0,101280.0,44.33499843258841,80.39842311326638,83.34526740329125,58.996202456146,57.16640827340822,66.77615549115839,55.29352758546937,61.301228787233036,53.56703979284145,48.74221788308374,46.11431305436114,40.81412197128152,45.65168360036478,45.464772656590995,42.29394889229184,46.92207500100092,43.743897197584865,42.32164368073433,42.36666863228521,48.33067289736223,54.23192611542683,71.61190386531021,73.85498687158649,74.14829339102191,61.207516678176894,68.2073329590761,70.64233559894895,72.3372869348167,65.30924645825868,60.91834210701145,52.33708487297134,53.318669232884226,46.123436858532145,49.095026727021065,54.29183940915678,50.87135728962964,46.01690255424335,48.44125030707683,49.24427207387395,50.21039171764357,0.21308666775331314,0.22354507543359467,0.22747996496606898,0.2300107746512532,0.22786298595285875,0.23037195276399977,0.23388956388289972,0.23779367662467019,0.23780584218037465,0.23486945706501525,0.2115624135546335,0.21361753638622652,0.21121336704124377,0.2122655069487232,0.21214285371286798,0.21145438537460748,0.21079698581560283,0.2116203654923972,0.21239290732430338,0.2127076857735772
6,1655318280000,LINKUSDT,2022-06-15 18:38:00,6.36,6.49,6.36,6.48,1430,6.95,6.49,6.83,6.35,6.45,6.57,6.65,6.71,6.83,6.93,7.07,6.87,6.77,6.95,6.48,6.34,6.35,6.31,6.3,6.28,6.25,6.2,6.29,6.29,555516.06770000,760034.81330000,1357816.11370000,1493888.71480000,2007177.21980000,1854669.07650000,1632278.79080000,1198123.28420000,634873.39400000,812514.53180000,669527.21830000,131002.01920000,254735.95950000,124616.51190000,183855.88620000,131183.80450000,204627.85560000,382122.01380000,225639.23000000,359926.20250000,669527.2183,889,1211,1767,2334,1772,2684,3032,2745,1411,1540,1430,220,485,274,373,273,373,610,409,586,104085.31,86039.94,117059.6,204880.9,222465.41,298900.74,269367.29,232196.71,172253.76,93428.35,118192.14,104085.31,20720.55,40187.88,19752.46,29228.7,20923.63,32845.1,61195.73,36005.1,57045.43,56.21521081238266,60.67511817125831,70.06152011391667,71.71348322116633,77.06895807377217,72.50054293854355,66.6295907695133,56.93230555207325,47.554114667257785,50.399697502071476,59.6931520200694,43.888782043312304,49.13386061196608,44.94826531271246,46.57145366428605,44.93328052461679,46.797622870984554,51.55386923876714,47.162411230322405,50.84466441577941,68.97964724716428,75.37223391713988,78.54636083979892,80.56909261684213,83.8489362295712,85.97368284774687,88.2952483298933,70.37505555132694,63.441824161836124,69.30396687665495,73.40266581957722,71.35151795345978,64.15409123693686,60.19994910243282,59.15398272786494,57.05813203637842,53.75290204495578,47.49897842345352,61.37014794498207,61.37014794498207,6.449367246240747,6.495091043862861,6.591215326020387,6.673381172910248,6.7477315089724685,6.836535267580217,6.966849559178887,6.985559169622591,6.873295926223009,6.8491843239439305,6.4136209023543005,6.322800614681059,6.327879057743084,6.300054441340304,6.2863799741042286,6.254268511952332,6.233492642504326,6.247286251568018,6.293014896673166,6.310438599672163
7,1655318280000,WAVESUSDT,2022-06-15 18:38:00,4.32,4.39,4.32,4.39,390,4.66,4.39,4.55,4.31,4.37,4.45,4.47,4.53,4.55,4.62,4.75,4.64,4.58,4.66,4.39,4.29,4.31,4.29,4.28,4.25,4.26,4.24,4.28,4.27,147815.70630000,203369.20610000,260831.56060000,374624.54810000,176400.52940000,439624.11530000,363209.99320000,325440.94790000,207307.48490000,180443.92000000,142436.68850000,46254.85530000,58810.55440000,74679.82560000,61592.99910000,51286.37360000,75279.53490000,122841.43560000,75149.74770000,72205.32100000,142436.6885,357,436,579,742,368,745,933,716,498,445,390,129,198,111,167,125,191,169,176,107,32729.0,33786.64,46216.1,58285.52,82806.43,38928.22,95636.35,76542.45,69035.47,45184.4,38951.1,32729.0,10786.34,13642.28,17414.26,14411.57,12042.3,17741.03,28931.89,17607.21,16857.14,54.780557485883364,58.16620354226375,61.28457198616337,66.67804571076545,52.88114448518251,63.67463514022593,59.42713322372769,57.23519420417594,51.43394371049657,50.147695144442544,54.487423179323116,48.92415687410609,49.17092119814264,50.20319905132659,49.39481861051672,48.779823237263365,50.09235809706455,52.686984155452755,50.28806380432192,50.13620652698246,67.21035791331222,74.51144871295777,75.9530205764499,79.66815023588632,80.73649676285021,83.92103255341135,87.91626500055733,71.68518791145902,64.67167692144871,69.02341731091813,71.99796078738318,62.20703124999996,61.92373880537947,58.453916176258154,56.618463336326855,50.53025700014287,52.82491131780812,48.479934305937896,58.4834610166786,56.39471533642042,4.370053002070891,4.40029180167246,4.449746534710818,4.502678179017301,4.5275970572059805,4.586416348176444,4.673349484179624,4.7218907807814094,4.647730105978934,4.610308415195331,4.349014861497605,4.292821476843585,4.29732120620434,4.283962317191203,4.266044893746484,4.251347767358451,4.252066286689012,4.260899964402692,4.276594121171587,4.283901947222274
8,1659695100000,HOTUSDT,2022-08-05 10:25:00,0.002504,0.002534,0.002503,0.00253,1079,0.002712,0.002539,0.0028,0.002503,0.002536,0.002702,0.002768,0.002789,0.0028,0.002749,0.002734,0.002726,0.002724,0.002712,0.00253,0.002477,0.002503,0.002496,0.002497,0.002501,0.002503,0.002497,0.002481,0.002474,86741.33644600,1210585.73773800,704170.47117400,869781.88846800,378428.26488600,234198.69049200,224685.64253400,217749.87534800,183639.86846300,66138.52541900,317034.44275900,5872.13810100,44927.36642500,3828.33273700,6887.62914800,6731.92909900,79750.22283700,140489.13206300,18161.21347500,8204.87900500,317034.442759,476,7768,6708,5845,2086,1424,1238,722,685,331,1079,24,101,18,33,40,323,707,40,26,125796732.0,34256294.0,457153881.0,254637527.0,311556955.0,136193972.0,84521800.0,82003404.0,79879684.0,67195379.0,24260333.0,125796732.0,2370883.0,17969089.0,1534200.0,2756906.0,2690352.0,31888678.0,56356489.0,7327492.0,3314726.0,53.170869290263084,82.56167264055242,63.21015365754965,66.00475923145686,53.18014653277323,50.05668089973582,49.86300857467506,49.71047251273716,48.87031367830088,46.02206996275277,78.17964900741856,49.92727512910182,54.90222600525393,46.973485667725875,47.550889054630325,47.520606028855084,63.64213021478395,86.20340088579027,59.01080156474018,51.83466293340367,83.29341358931096,95.07638308067615,96.2183810432977,96.49680430373442,96.63649821734415,80.59073507160988,76.56403068334194,74.42811042155239,73.87326471293608,70.47836468056059,81.83432918035184,57.64643047890357,71.39538282682085,66.80280889101294,68.25653137771599,74.25871867923814,77.41954979073594,74.38190297395985,61.585676437008686,51.80608715985907,0.0025250443914631143,0.0026478751642718835,0.002694611704050896,0.0027792910156884923,0.002790913856943654,0.002777837768409832,0.0027498531862840416,0.0027323989275849082,0.002727942504166506,0.002726809786136339,0.0025196669098213544,0.0024764785318987102,0.0025005804605059173,0.002497165762859272,0.0025001401945712867,0.0025017185353281065,0.0024957060694440073,0.0024907224904433456,0.0024772951017666936,0.0024755559962588596
9,1662547140000,FETUSDT,2022-09-07 10:39:00,0.0911,0.0922,0.0903,0.092,312,0.0993,0.0921,0.0941,0.091,0.0919,0.0929,0.0927,0.0929,0.0941,0.0946,0.094,0.093,0.0975,0.0993,0.092,0.0869,0.091,0.0936,0.0908,0.0878,0.0874,0.0872,0.0876,0.0876,58110.35540000,41477.91420000,71523.41880000,59032.69490000,107701.95050000,188609.48820000,84852.51010000,183256.49500000,321820.50290000,234697.49210000,188710.88340000,92009.68340000,209402.75710000,481421.84020000,130767.99760000,14338.44990000,2414.88750000,11099.49670000,3603.18160000,92693.64450000,188710.8834,133,236,147,152,234,593,259,675,737,685,312,284,382,1516,223,43,24,53,21,324,2058001.0,632221.0,450058.0,776141.0,638963.0,1153051.0,1982365.0,897742.0,1978055.0,3358772.0,2386180.0,2058001.0,1058339.0,2276127.0,5167693.0,1458488.0,163384.0,27622.0,126762.0,41160.0,1060012.0,48.74427134713143,47.94155221591964,49.58860218749471,48.89065660905035,51.7254632553718,56.03730357288009,49.84132499835555,54.97379215025809,61.02307861612501,55.88019804547305,55.638702213203935,56.87800361325767,56.811927584839275,76.66032519899045,59.9209497053164,48.445305412632145,47.00399947450807,47.907631250676175,47.092884406287325,56.968155465861436,67.0407414779678,69.97153125471183,68.65659655863134,69.27834134137771,72.7687017757637,74.08961105611033,69.71919352840136,63.04429261040114,74.75650886754198,77.78882066938698,67.65388128804344,53.8445199660153,64.65194444098037,83.32100917019162,76.5493332470781,60.65793648364732,57.05484668078958,55.14768213951631,60.10479041916162,60.10479041916162,0.09155483496653188,0.09206600762526723,0.09249113566938694,0.09251181974375494,0.09329589709306584,0.09452192426778454,0.0947506364867694,0.09335167824200848,0.09512746068653402,0.09723070493887503,0.09162253821299232,0.08724266565097895,0.09249698187668876,0.09215832965725908,0.08956519084120076,0.08771364180531852,0.08739999999999999,0.08744085230047284,0.08756666666666668,0.08718363607667788
